"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL252009";"";"None";"537.52";"2";"5.76";"1t";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1)C(=O)O";"Ki";"'='";"84.0";"nM";"7.08";"";"";"UO_0000065";"13.16";"0.27";"1.32";"9.36";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL254493";"";"None";"401.53";"0";"3.72";"1m";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1OCc1ccccc1)C(=O)O";"Ki";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"20.48";"0.40";"4.50";"10.87";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL398771";"";"None";"437.51";"0";"4.00";"1q";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccc(F)cc2F)cc1)C(=O)O";"Ki";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"19.88";"0.40";"4.70";"11.50";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL254900";"";"None";"219.31";"0";"0.92";"1c";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](C)C(=O)O";"Ki";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"35.81";"0.77";"6.93";"11.83";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL269996";"";"None";"371.50";"0";"3.81";"1j";"CC[C@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O";"Ki";"'='";"1.6";"nM";"8.80";"";"";"UO_0000065";"23.68";"0.46";"4.99";"13.25";"0";"CHEMBL933038";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142293";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL4450911";"";"None";"303.19";"None";"None";"MS26";"C[C@H](CS)C(=O)N[C@H](B(O)O)c1ccc2ccccc2c1";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL4374960";"Inhibition of human C-terminal His/FLAG-tagged ACE-2 expressed in HEK293 cells at 100 uM preincubated for 10 mins followed by Mca-Ala-Pro-Lys(Dnp)-OH substrate addition by fluorescence assay relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4373692";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL261423";"";"None";"476.47";"0";"1.62";"34-FII";"CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@@H]1P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O";"Ki";"'='";"2.1";"nM";"8.68";"";"";"UO_0000065";"18.21";"0.36";"7.06";"5.68";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL260273";"";"None";"452.49";"0";"2.70";"28-FII";"CC(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@@H]1P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O";"Ki";"'='";"0.13";"nM";"9.89";"";"";"UO_0000065";"21.85";"0.44";"7.19";"7.97";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL254911";"";"None";"419.52";"0";"3.86";"1p";"CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccc(F)cc2)cc1)C(=O)O";"Ki";"'='";"2.5";"nM";"8.60";"";"";"UO_0000065";"20.50";"0.41";"4.74";"11.37";"0";"CHEMBL928315";"Inhibition of human recombinant ACE2 by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141500";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL409105";"";"None";"543.52";"1";"2.27";"41-FII";"CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@@H]1P(=O)(O)CC(Cc1cc(-c2ccccc2)no1)C(=O)O";"Ki";"'='";"0.4";"nM";"9.40";"";"";"UO_0000065";"17.29";"0.34";"7.13";"5.26";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL4451026";"";"None";"343.26";"None";"None";"MS06";"O=C(N[C@@H](Cc1ccccc1)B(O)O)C(CS)Cc1ccccc1";"Inhibition";"'='";"44.6";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4374949";"Inhibition of human C-terminal His/FLAG-tagged ACE-2 expressed in HEK293 cells at 50 uM preincubated for 10 mins followed by Mca-Ala-Pro-Lys(Dnp)-OH substrate addition by fluorescence assay relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4373692";"1";"Scientific Literature";"J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL409713";"";"None";"355.33";"0";"2.74";"14";"C[C@H](CP(=O)(O)[C@H]1CCCN1C(=O)OCc1ccccc1)C(=O)O";"Ki";"'='";"3000.0";"nM";"5.52";"";"";"UO_0000065";"15.54";"0.31";"2.78";"5.30";"0";"CHEMBL929264";"Inhibition of ACE2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3736";"Angiotensin-converting enzyme 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145556";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
